事件/资产名称,龍魂ID,治理维度,DNA层级,三色审计,熔断级别,风险评分,处理状态,女娲五彩石,R值（影响范围）,I值（事件重要性）,已否决,红线触碰,负责人,创建时间,DNA追溯码,三才校验,创建者,商业授权状态,压力测试问题,压力测试结果,审查对象,对外状态,已加密,平台/来源,最后编辑,本机路径,松紧级别,涉及维度,版本号,登记时间,编辑者,老大原话存档,行动建议,证据链摘要,资产类型
安全报告_20260127_140001.md,2009,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_140001_MD_4C93-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_140001.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_130000.md,2007,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_130000_MD_1BEB-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_130000.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_110000.md,2004,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_110000_MD_A0D1-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_110000.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_100000.md,2001,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_100000_MD_D320-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_100000.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_090000.md,1998,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_090000_MD_83B2-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_090000.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_080001.md,1995,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_080001_MD_F030-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_080001.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_070001.md,1992,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_070001_MD_282E-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_070001.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_060001.md,1990,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:06,#龍芯⚡️2026-03-27-MOD_20260127_060001_MD_8436-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:06,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_060001.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_050000.md,1989,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️2026-03-27-MOD_20260127_050000_MD_9651-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_050000.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_040001.md,1986,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️2026-03-27-MOD_20260127_040001_MD_46CE-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_040001.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
安全报告_20260127_030000.md,1984,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️2026-03-27-MOD_20260127_030000_MD_325C-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/安全报告_20260127_030000.md,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
unclassified_20260127_031342.txt,1983,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/unclassified_20260127_031342.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
sensitive_files_20260203_220001.txt,1981,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/sensitive_files_20260203_220001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
sensitive_files_20260130_230001.txt,1979,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/sensitive_files_20260130_230001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
sensitive_files_20260127_080001.txt,1978,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/sensitive_files_20260127_080001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
recent_changes_20260130_220000.txt,1974,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/recent_changes_20260130_220000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_220001.txt,1970,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_220001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_210000.txt,1967,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_210000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_200000.txt,1964,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_200000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_190000.txt,1962,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_190000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_180000.txt,1959,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_180000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_170000.txt,1956,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_170000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_160000.txt,1952,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_160000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_150001.txt,1951,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_150001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_140000.txt,1948,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_140000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_130000.txt,1946,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_130000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_120000.txt,1945,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_120000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_110000.txt,1943,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_110000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_100001.txt,1941,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_100001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_090000.txt,1939,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_090000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_080000.txt,1938,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_080000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_070000.txt,1936,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_070000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_060000.txt,1935,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_060000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_050001.txt,1932,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_050001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_040000.txt,1930,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_040000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_030000.txt,1928,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_030000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_020000.txt,1926,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_020000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_010000.txt,1921,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_010000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260203_000000.txt,1919,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260203_000000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_230001.txt,1916,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_230001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_220000.txt,1912,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_220000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_210000.txt,1909,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_210000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_200000.txt,1906,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_200000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_190000.txt,1903,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_190000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_180000.txt,1902,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_180000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_170000.txt,1895,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_170000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_160000.txt,1892,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_160000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_150001.txt,1889,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_150001.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_140000.txt,1887,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_140000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
dna_registry_20260202_130000.txt,1885,,,🟢 通过,🟢 正常,,📥 待登记,,,,No,No,,2026年3月27日 16:05,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.txt-v1.0,,💎 龍魂系统中枢大脑,,,,,🔒 绝对私有,No,🟢 本机设备,2026年3月27日 16:05,/Users/zuimeidedeyihan/longhun-system/数据归集/gz解压/backup_20260203/Users/zuimeidedeyihan/UID9622_Automation/logs/dna_registry_20260202_130000.txt,,,v1.0,,💎 龍魂系统中枢大脑,,,,📝 知识/设计
