事件/資產名稱,DNA層級,DNA追溯碼,I值（事件重要性）,R值（影響範圍）,三才校驗,三色審計,創建時間,創建者,商業授權狀態,壓力測試問題,壓力測試結果,女媧五彩石,審查對象,對外狀態,已加密,已否決,平台/來源,最後編輯,本機路徑,松緊級別,治理維度,涉及維度,熔斷級別,版本號,登記時間,紅線觸碰,編輯者,老大原話存檔,處理狀態,行動建議,證據鏈摘要,負責人,資產類型,風險評分,龍魂ID
龍魂记忆编辑器_系统集成指南.cnsh.md,,#龍芯⚡️2026-03-27-CNSH_MD_78B8-v1.0,,,,🟢 通過,2026年3月27日 15:48,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:48,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/龍魂记忆编辑器_系统集成指南.cnsh.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,535
longhun_local_deployment_guide.md,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.md-v1.0,,,,🟢 通過,2026年3月27日 15:48,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:48,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/龍魂系统核心/.backup_before_unify/longhun_local_deployment_guide.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,548
deepseek_collab_trial.md,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.md-v1.0,,,,🟢 通過,2026年3月27日 15:48,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:48,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/龍魂系统核心/files/deepseek_collab_trial.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,560
longhun_ecosystem_delivery.md,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.md-v1.0,,,,🟢 通過,2026年3月27日 15:48,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:48,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/龍魂系统核心/files/longhun_ecosystem_delivery.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,562
签名与终端系统-v2.0-完成报告.md,,#龍芯⚡️2026-03-27-AI_V1_0_SEVEN-DIMENSION_AI_GOVERNA-v2.0-完成报告.md-v1.0,,,,🟢 通過,2026年3月27日 15:48,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:48,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/签名与终端系统-v2.0-完成报告.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,567
三才算法终极版.md,,#龍芯⚡️2026-03-27-MD_DA29-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/三才算法终极版.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,574
设置-cnsh文件关联.sh,,#龍芯⚡️2026-03-27-CNSH_SH-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/设置-cnsh文件关联.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,577
网站搭建-最简指南.md,,#龍芯⚡️2026-03-27-MD_D0C0-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/网站搭建-最简指南.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,580
多维度多位面执行引擎启动 <POTENTIAL_SECRET_PLACEHOLDER>.md,,#龍芯⚡️2026-03-27-MOD_30C07171724280408D68C85FB9B-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/主控指令/LU主控指令库/多维度多位面执行引擎启动 <POTENTIAL_SECRET_PLACEHOLDER>.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,587
可证明回滚机制部署 <POTENTIAL_SECRET_PLACEHOLDER>.md,,#龍芯⚡️2026-03-27-POTENTIAL_SECRET_PLACEHOLDER_0_2026_3_27_15_49_NO_NO_2026_3_27_15_49_USERS_ZUIME-v1.0-完整实现/主控指令/LU主控指令库/可证明回滚机制部署 <POTENTIAL_SECRET_PLACEHOLDER>.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,588
量子神经网络架构部署 <POTENTIAL_SECRET_PLACEHOLDER>.md,,#龍芯⚡️2026-03-27-POTENTIAL_SECRET_PLACEHOLDER_0_2026_3_27_15_49_NO_NO_2026_3_27_15_49_USERS_ZUIME_2C9C-v1.0-完整实现/主控指令/LU主控指令库/量子神经网络架构部署 <POTENTIAL_SECRET_PLACEHOLDER>.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,592
龙魂精神核心价值观注入 <POTENTIAL_SECRET_PLACEHOLDER>.md,,#龍芯⚡️2026-03-27-MOD_30C07171724280579F70E90DF2B9-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/主控指令/LU主控指令库/龙魂精神核心价值观注入 <POTENTIAL_SECRET_PLACEHOLDER>.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,594
三色审计系统注册激活 <POTENTIAL_SECRET_PLACEHOLDER>.md,,#龍芯⚡️2026-03-27-POTENTIAL_SECRET_PLACEHOLDER_0_2026_3_27_15_49_NO_NO_2026_3_27_15_49_USERS_ZUIME_B64B-v1.0-完整实现/主控指令/LU主控指令库/三色审计系统注册激活 <POTENTIAL_SECRET_PLACEHOLDER>.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,599
无标题 <POTENTIAL_SECRET_PLACEHOLDER>.md,,#龍芯⚡️2026-03-27-POTENTIAL_SECRET_PLACEHOLDER_MD-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-v1.0-完整实现/主控指令/LU主控指令库/无标题 <POTENTIAL_SECRET_PLACEHOLDER>.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,603
AGENTS.md,,#龍芯⚡️2026-03-27-AGENTS_MD-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/AGENTS.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,612
_索引.md,,#龍芯⚡️2026-03-27-MD_7A9F-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/AI智能/_索引.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,616
CNSH_VISION.md,,#龍芯⚡️2026-03-27-CNSH_VISION_MD-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/CNSH_VISION.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,630
CNSH_统一管理系统使用指南.md,,#龍芯⚡️2026-03-27-CNSH_MD-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/CNSH_统一管理系统使用指南.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,631
CNSH-Core-Whitepaper-ZH.md,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.md-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/CNSH-Core-Whitepaper-ZH.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,632
DNA_CODING_SYSTEM.md,,#龍芯⚡️2026-03-27-DNA_CODING_SYSTEM_MD-v1.0,,,,🟢 通過,2026年3月27日 15:49,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:49,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/DNA_CODING_SYSTEM.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,635
FAQ.md,,#龍芯⚡️2026-03-27-FAQ_MD-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/FAQ.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,636
HUAWEI_HANDOVER_README.md,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.md-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/HUAWEI_HANDOVER_README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,640
TECH_STACK_COMPLETE.md,,#龍芯⚡️2026-03-27-TECH_STACK_COMPLETE_MD-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/TECH_STACK_COMPLETE.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,655
安装指南.md,,#龍芯⚡️2026-03-27-MD_39CB-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/安装指南.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,657
本地数据库部署指南.md,,#龍芯⚡️2026-03-27-MD_C818-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/本地数据库部署指南.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,658
调试报告.md,,#龍芯⚡️2026-03-27-MD_91FC-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/docs/调试报告.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,659
INDEX.json,,#龍芯⚡️2026-03-27-INDEX_JSON-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/INDEX.json,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,⚙️ 系統架構,,664
AI_PERSONALITY.py,,#龍芯⚡️2026-03-27-AI_PERSONALITY_PY-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/AI_PERSONALITY.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,674
emergency-fix.sh,,#龍芯⚡️2026-03-27-EMERGENCY-FIX_SH-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/emergency-fix.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,690
FINAL_PUSH.sh,,#龍芯⚡️2026-03-27-FINAL_PUSH_SH-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/FINAL_PUSH.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,693
install-uid9622-banner.sh,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/install-uid9622-banner.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,695
install.sh,,#龍芯⚡️2026-03-27-INSTALL_SH-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/install.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,697
integrate-notion-dbs.sh,,#龍芯⚡️2026-03-27-INTEGRATE-NOTION-DBS_SH-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/integrate-notion-dbs.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,698
notion-monitor-daemon.sh,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,,,🟢 通過,2026年3月27日 15:50,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:50,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/notion-monitor-daemon.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,707
report_processing.py,,#龍芯⚡️2026-03-27-REPORT_PROCESSING_PY-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/report_processing.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,710
start-cnhsh-local.sh,,#龍芯⚡️2026-03-27-START-CNHSH-LOCAL_SH-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/scripts/start-cnhsh-local.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,715
daily-review.js,,#龍芯⚡️2026-03-27-DAILY-REVIEW_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/commands/daily-review.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,724
digital-identity.js,,#龍芯⚡️2026-03-27-DIGITAL-IDENTITY_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/config/digital-identity.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,725
marketplace.js,,#龍芯⚡️2026-03-27-MARKETPLACE_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/marketplace.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,728
payment.js,,#龍芯⚡️2026-03-27-PAYMENT_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/routes/payment.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,735
server-fixed.js,,#龍芯⚡️2026-03-27-SERVER-FIXED_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/server-fixed.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,737
server.js,,#龍芯⚡️2026-03-27-SERVER_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/server.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,738
embedding.js,,#龍芯⚡️2026-03-27-EMBEDDING_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/embedding.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,748
__init__.py,,#龍芯⚡️2026-03-27-INIT_PY-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/cnsh-core/runtime/__init__.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,749
file.js,,#龍芯⚡️2026-03-27-FILE_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/services/file.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,750
logger.js,,#龍芯⚡️2026-03-27-LOGGER_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-core/src/utils/logger.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,756
cnsh_compiler.py,,#龍芯⚡️2026-03-27-CNSH_COMPILER_PY-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-editor/cnsh_compiler.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,759
README.md,,#龍芯⚡️2026-03-27-README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/cnsh-editor/README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,762
README.md,,#龍芯⚡️2026-03-27-README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/dragon_soul_extension/assets/icons/README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,765
service-worker.js,,#龍芯⚡️2026-03-27-SERVICE-WORKER_JS-v1.0,,,,🟢 通過,2026年3月27日 15:51,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:51,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/dragon_soul_extension/background/service-worker.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,767
asset-scanner.js,,#龍芯⚡️2026-03-27-ASSET-SCANNER_JS-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/dragon_soul_extension/core/asset-scanner.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,775
taiji-extractor.js,,#龍芯⚡️2026-03-27-TAIJI-EXTRACTOR_JS-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/dragon_soul_extension/core/taiji-extractor.js,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,805
FINAL_SUMMARY.md,,#龍芯⚡️2026-03-27-FINAL_SUMMARY_MD-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/dragon_soul_extension/FINAL_SUMMARY.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,806
README.md,,#龍芯⚡️2026-03-27-README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/packages/dragon_soul_extension/README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,819
README.md,,#龍芯⚡️2026-03-27-README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,820
install.sh,,#龍芯⚡️2026-03-27-INSTALL_SH-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/scripts/install.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,822
_索引.md,,#龍芯⚡️2026-03-27-MD_7A9F-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/产品文档类/_索引.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,840
_完整清单.md,,#龍芯⚡️2026-03-27-MD_EC8A-v1.0,,,,🟢 通過,2026年3月27日 15:52,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:52,/Users/zuimeidedeyihan/longhun-system/CNSH-整理版/产品文档类/_完整清单.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,842
